Date,Title,Link,Full_Text
"July 20, 2026",Court orders EPA to implement federal soot pollutionstandard,https://www.selc.org/press-release/court-orders-epa-to-implement-federal-soot-pollution-standard/,"






july 20, 2026

          court orders epa to implement federal soot pollution 
          standard 














washington — a federal court ruled late friday that the u.s. environmental protection agency (epa) violated the clean air act by failing to identify areas with unhealthy soot pollution by the deadline required...

"
"July 1, 2026","EPA abandons risk assessment of toxic PFAS contamination of farms, food and watersources",https://www.selc.org/press-release/epa-abandons-risk-assessment-of-toxic-pfas-contamination-of-farms-food-and-water-sources/,"






july 1, 2026

          epa abandons risk assessment of toxic pfas contamination of farms, food and water 
          sources 














washington—by dropping its risk assessment, epa today abandoned clear scientific evidence regarding the dangers of pfas contamination in sewage sludge used as fertilizer, putting farming families and rural communities at risk, the southern environmental...

"
"June 30, 2026","Trump administration puts safety, drinking water at risk at the request of power coal ashpolluters",https://www.selc.org/press-release/trump-administration-puts-safety-drinking-water-at-risk-at-the-request-of-power-coal-ash-polluters/,"






june 30, 2026

          trump administration puts safety, drinking water at risk at the request of power coal ash 
          polluters  














washington —the trump administration’s proposal to eliminate protections against coal ash that communities fought for after contaminated water and disastrous coal ash spills clearly grants the wishes of coal ash polluters to the detriment of families and communities,...

"
"June 24, 2026","Federal government settlement with Chemours is a negotiated outcome to shield from real accountability, saysSELC",https://www.selc.org/press-release/federal-government-settlement-with-chemours-is-a-negotiated-outcome-to-shield-from-real-accountability-says-selc/,"






june 24, 2026

          federal government settlement with chemours is a negotiated outcome to shield from real accountability, says 
          selc 














chapel hill, n.c.—the southern environmental law center issued the following statement by jean zhuang, senior attorney, regarding the settlement announced today by the u.s. department of justice, epa, and west virginia’s department of environmental...

"
"June 16, 2026","Groups sue to stop Robeson County, N.C, landfill’s PFAS pollution of drinking water system for 67,000people",https://www.selc.org/press-release/groups-sue-to-stop-robeson-county-n-c-landfills-pfas-pollution-of-drinking-water-system-for-67000-people/,"






june 16, 2026

          groups sue to stop robeson county, n.c, landfill’s pfas pollution of drinking water system for 67,000 
          people 














chapel hill, n.c.—on behalf of st. pauls community association for progress, the southern environmental law center today filed suit in the u.s. district court for the eastern district of north carolina against robeson...

"
"June 15, 2026","Polluter-written PFAS and 1,4-dioxane rules without pollution reduction are unethical, SELC says to N.C.Commission",https://www.selc.org/press-release/polluter-written-pfas-and-14-dioxane-rules-with-no-pollution-cuts-are-unethical-selc-says-to-n-c-commission/,"






june 15, 2026

          polluter-written pfas and 1,4-dioxane rules without pollution reduction are unethical, selc says to n.c. 
          commission 














chapel hill, n.c.—proposed polluter-written rules regarding pfas and 1,4-dioxane do not require polluters to reduce toxic discharges into drinking water supplies relied on by families and communities across north carolina, the southern environmental...

"
"June 1, 2026",Analysis: Duke Energy Carolinas’ rate plan is unfair to residentialcustomers,https://www.selc.org/press-release/analysis-duke-energy-carolinas-rate-plan-is-unfair-to-residential-customers/,"






june 1, 2026

          analysis: duke energy carolinas’ rate plan is unfair to residential 
          customers 














chapel hill, n.c. – duke energy carolinas could save residential customers millions by making moderate changes to its rate practices, according to two new analyses in response to the company’s request to raise residential...

"
"May 18, 2026","House Committee missing opportunity to fund cleaner, more affordabletransportation",https://www.selc.org/press-release/house-committee-is-missing-key-opportunity-to-fund-cleaner-more-affordable-transportation/,"






may 18, 2026

          house committee missing opportunity to fund cleaner, more affordable              
          transportation 














charlottesville, va. — the house transportation and infrastructure committee has released text for its upcoming surface transportation reauthorization, the “build america 250 act.” congress faces a september 30th deadline to act on federal transportation programs, and this bill proposes a 5-year funding and policy framework for highways and bridges, public transit...

"
"May 18, 2026","EPA proposes to gut limits on toxic PFAS in drinking water, abandoning communities across thecountry",https://www.selc.org/press-release/epa-proposes-to-gut-limits-on-toxic-pfas-in-drinking-water-abandoning-communities-across-the-country/,"






may 18, 2026

          epa proposes to gut limits on toxic pfas in drinking water, abandoning communities across the 
          country 














washington — the environmental protection agency’s proposal to withdraw national drinking water standards for several toxic pfas chemicals and delay others is a stunning reversal of family health protections, according to the southern environmental law...

"
"May 6, 2026",Groups push back on utilities commission’s baffling decision to stall solardevelopment,https://www.selc.org/press-release/groups-push-back-on-utilities-commissions-baffling-decision-to-stall-solar-development/,"






may 6, 2026

          groups push back on utilities commission’s baffling decision to stall solar 
          development 














chapel hill, n.c.— the southern environmental law center filed a motion asking the north carolina utilities commission to reconsider a recent order directing duke energy to pause its 2026 solar and solar-plus-storage procurement process.  despite escalating energy costs and demand, the commission issued an unexpected order to “defer” bringing cheaper, cleaner, and more reliable solar energy online in...

"
